name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Sphingopyxis macrogoltabida	33050	species	16800329	5	2	0.0
Pseudomonas viridiflava	33069	species	12090733	187	167	0.0
Gloeobacter violaceus	33072	species	4659019	1	0	0.0
Botrytis	33196	genus	42630066	5	0	0.0
Agromyces	33877	genus	0	1	0	0.0
Microbacterium	33882	genus	3982034	2	0	0.0
Rathayibacter rathayi	33887	species	3103889	1	1	0.0
Rathayibacter tritici	33888	species	3354681	1	1	0.0
Streptomyces murinus	33900	species	8539264	1	0	0.0
Bifidobacterium thermophilum	33905	species	2291643	1	0	0.0
Anoxybacillus flavithermus	33934	species	2846746	8	8	0.0
Lactobacillaceae	33958	family	3272674	12	0	0.0
Lactobacillus johnsonii	33959	species	1907846	10	4	0.0
Rickettsia bellii	33990	species	1525528	9	6	0.0
Paracoccus aminovorans	34004	species	4038130	1	1	0.0
Rhodovulum	34008	genus	4347929	3	0	0.0
Candidatus Liberibacter africanus	34020	species	1192232	4	0	0.0
Moraxella osloensis	34062	species	24618854	9	2	0.0
Variovorax	34072	genus	6817856	1	1	0.0
Variovorax paradoxus	34073	species	6817856	19	15	0.0
Blattabacterium	34098	genus	627361	1	0	0.0
Chaetomiaceae	35718	family	37828236	183	0	0.0
Candidatus Phytoplasma luffae	35773	species	769143	1	1	0.0
Rickettsia japonica	35790	species	1283087	582	574	0.0
Arthrospira	35823	genus	0	4	0	0.0
Microbacterium aurum	36805	species	3424892	5	2	0.0
Corynebacterium bovis	36808	species	2652195	1	1	0.0
Mycolicibacterium pulveris	36813	species	5484749	2	1	0.0
Brucella canis	36855	species	3295140	1	0	0.0
Nocardia brasiliensis	37326	species	9436348	1	0	0.0
Nocardia farcinica	37329	species	6292344	2	0	0.0
Laceyella sacchari	37482	species	3374379	3	3	0.0
Enterococcus casseliflavus	37734	species	3427276	1	0	0.0
Escherichia coli B	37762	strain	9048143	1	0	0.0
Arthrobacter agilis	37921	species	3261460	1	1	0.0
Sinomonas atrocyanea	37927	species	4492204	1	1	0.0
Arthrobacter crystallopoietes	37928	species	9414244	3	3	0.0
Paenarthrobacter ureafaciens	37931	species	13790470	6	1	0.0
Corynebacterium jeikeium	38289	species	2476822	1	0	0.0
Corynebacterium tuberculostearicum	38304	species	4860445	1	1	0.0
Mesorhizobium ciceri	39645	species	6785241	1	1	0.0
Mycolicibacterium duvalii	39688	species	5657388	1	1	0.0
Mycolicibacterium parafortuitum	39692	species	6044196	1	1	0.0
Mycolicibacterium poriferae	39694	species	5929171	1	0	0.0
Mycolicibacterium tokaiense	39695	species	6328149	1	0	0.0
Acinetobacter johnsonii	40214	species	4081329	3	3	0.0
Acinetobacter junii	40215	species	16950733	1	0	0.0
Acinetobacter radioresistens	40216	species	3433938	1	1	0.0
Stenotrophomonas maltophilia	40324	species	4684682	13	6	0.0
Mycoplasma mycoides subsp. capri	40477	subspecies	23810155	9	7	0.0
Mycoplasma capricolum subsp. capripneumoniae	40480	subspecies	21354203	6	0	0.0
Botrytis cinerea	40559	species	42630066	34	0	0.0
Brevundimonas vesicularis	41276	species	3345527	3	1	0.0
Sphingomonadaceae	41297	family	4815302	5	0	0.0
Rippkaea orientalis PCC 8801	41431	strain	4787694	3663	0	0.0
Burkholderia plantarii	41899	species	15977589	2	2	0.0
Actinosynnema pretiosum	42197	species	8340266	3	0	0.0
Rubrobacter radiotolerans	42256	species	3267233	3	0	0.0
Zygotorulaspora mrakii	42260	species	10450160	249	6	0.0
Candida dubliniensis	42374	species	14618422	4	0	0.0
Ammonifex degensii	42838	species	2157067	1	0	0.0
Streptomyces chromofuscus	42881	species	7483282	1	1	0.0
Mycobacterium branderi	43348	species	5979623	1	0	0.0
Pseudoalteromonas tetraodonis	43659	species	4128400	1	1	0.0
Corynebacterium amycolatum	43765	species	13289157	3	0	0.0
Corynebacterium striatum	43770	species	17398430	1	1	0.0
Crocosphaera subtropica ATCC 51142	43989	strain	5460377	42	14	0.0
Caldicellulosiruptor	44000	genus	2744362	1	1	0.0
Thauera aromatica K172	44139	strain	3711792	1	1	0.0
Microcoleus	44471	genus	0	7	0	0.0
Lactococcus lactis subsp. lactis bv. diacetylactis	44688	leaf	10256659	13	1	0.0
Microcystis viridis	44822	species	5874197	6	0	0.0
Legionella geestiana	45065	species	5360181	1	0	0.0
Streptomyces griseoviridis	45398	species	17926150	3	0	0.0
Hyphomicrobiaceae	45401	family	3894811	6	0	0.0
Abiotrophia defectiva	46125	species	2046826	1	1	0.0
Anabaena sp. 90	46234	species	5305675	156	8	0.0
Entomoplasma	46238	genus	0	1	0	0.0
Pseudomonas avellanae	46257	species	6576340	1	0	0.0
Leptolyngbya	47251	genus	6946868	100	0	0.0
Hydrogenophaga pseudoflava	47421	species	4905973	4	2	0.0
Borrelia miyamotoi	47466	species	937966	19	7	0.0
Lautropia mirabilis	47671	species	3172010	2	2	0.0
Lacticaseibacillus paracasei subsp. paracasei	47714	subspecies	9428501	2	0	0.0
Streptomyces lydicus	47763	species	34877721	1	1	0.0
Micromonospora aurantiaca	47850	species	7025559	3	0	0.0
Micromonospora carbonacea	47853	species	7528335	2	2	0.0
Micromonospora sagamiensis	47875	species	6930736	1	1	0.0
Pseudomonas azotoformans	47878	species	20325252	1	1	0.0
Pseudomonas synxantha	47883	species	52119649	1	0	0.0
Pseudomonas taetrolens	47884	species	9811443	2	0	0.0
Serratia fonticola	47917	species	35241319	9	5	0.0
Torulaspora globosa	48254	species	9281121	1	0	0.0
Acinetobacter pittii	48296	species	3862530	1	0	0.0
Streptomyces viridifaciens	48665	species	7757877	1	0	0.0
Flavobacteriaceae	49546	family	3692507	4	0	0.0
Kluyvera ascorbata	51288	species	5371308	1	0	0.0
Aerococcus urinaeequi	51665	species	6185595	1	1	0.0
Actinomyces howellii	52771	species	3148934	1	1	0.0
Actinomyces slackii	52774	species	3220508	1	1	0.0
Intrasporangium calvum	53358	species	4024382	2	0	0.0
Mycolicibacterium mageritense	53462	species	8006721	1	1	0.0
Chroococcidiopsis	54298	genus	6689401	18	0	0.0
Chroococcidiopsis thermalis	54299	species	6689401	60	0	0.0
Streptomyces venezuelae	54571	species	8223505	7	3	0.0
Brevibacillus formosus	54913	species	6437015	1	1	0.0
Malassezia	55193	genus	0	8	0	0.0
Janthinobacterium agaricidamnosum	55508	species	5949001	1	0	0.0
Oscillatoria acuminata PCC 6304	56110	strain	7804270	514	367	0.0
Xanthomonas sacchari	56458	species	5006106	1	1	0.0
Rhizobium gallicum	56730	species	7311190	1	0	0.0
Burkholderia thailandensis	57975	species	7411824	2	0	0.0
Streptomyces lavendulae subsp. lavendulae	58340	subspecies	16968710	2	0	0.0
Rathayibacter iranicus	59737	species	3436894	1	1	0.0
Prochlorococcus marinus str. NATL2A	59920	strain	1842899	2	0	0.0
Cyanobium gracile	59930	species	3342364	1	0	0.0
Shewanella sp. MR-7	60481	species	4799109	1	0	0.0
Paraburkholderia graminis	60548	species	7508450	11	11	0.0
Burkholderia pyrrocinia	60550	species	24504672	2	1	0.0
Burkholderia vietnamiensis	60552	species	6930496	1	0	0.0
Dehalococcoides mccartyi	61435	species	1412881	1	0	0.0
Enterobacter asburiae	61645	species	4561905	3	0	0.0
Geitlerinema	63132	genus	0	57	0	0.0
Bacillus pseudomycoides	64104	species	11352265	1	0	0.0
Halothece sp. PCC 7418	65093	species	4179170	1	0	0.0
Euhalothece	65097	genus	3524308	1	0	0.0
Gloeothece citriformis PCC 7424	65393	strain	6554169	605	97	0.0
Pseudomonas knackmussii	65741	species	6162905	1	0	0.0
Streptomyces luteoverticillatus	66425	species	7367863	1	1	0.0
Streptomyces gardneri	66892	species	9054805	1	1	0.0
Mycolicibacterium alvei	67081	species	6016846	1	1	0.0
Streptomyces cavourensis	67258	species	15214232	4	0	0.0
Streptomyces cinereoruber	67260	species	7516652	1	1	0.0
Streptomyces finlayi	67296	species	7654963	1	0	0.0
Streptomyces griseorubiginosus	67304	species	18738405	1	0	0.0
Streptomyces californicus	67351	species	40473119	1	0	0.0
Citrobacter werkmanii	67827	species	25023890	1	1	0.0
Streptomyces fulvissimus	68202	species	7905758	2	1	0.0
Streptomyces glomeroaurantiacus	68210	species	9428393	1	1	0.0
Streptomyces pactum	68249	species	8550793	1	0	0.0
Cupriavidus basilensis	68895	species	17364093	1	1	0.0
Curtobacterium pusillum	69373	species	4541048	36	32	0.0
Caulobacter henricii	69395	species	3957288	1	0	0.0
Caulobacter sp. FWC26	69665	species	4869030	2	2	0.0
Caulobacter mirabilis	69666	species	4577265	3	2	0.0
Treponema socranskii subsp. buccale	69713	subspecies	2866542	1	0	0.0
Kocuria palustris	71999	species	2854447	2	2	0.0
Kocuria rhizophila	72000	species	2697540	4	0	0.0
Pseudomonadales	72274	order	7995113	1	0	0.0
Klebsiella pneumoniae subsp. pneumoniae	72407	subspecies	249054922	8	8	0.0
Thermaerobacter	73918	genus	2844696	1	0	0.0
Maricaulis maris	74318	species	3368780	3	0	0.0
Brevundimonas mediterranea	74329	species	3383373	4	2	0.0
Halomonas campisalis	74661	species	4441120	1	0	0.0
Frankiaceae	74712	family	7497934	1	0	0.0
Micropruina glycogenica	75385	species	3844677	2	2	0.0
Pseudomonas libanensis	75588	species	6282445	1	1	0.0
Rhodocyclaceae	75787	family	4267117	1	0	0.0
Halothece	76023	genus	0	1	0	0.0
Vibrio rumoiensis	76258	species	4207152	1	0	0.0
Pseudomonas orientalis	76758	species	29710730	1	1	0.0
Pseudomonas monteilii	76759	species	5972603	2	1	0.0
Malassezia restricta	76775	species	7369627	259	182	0.0
Myroides	76831	genus	0	1	0	0.0
Myroides odoratimimus	76832	species	8395778	1	0	0.0
Pseudomonas putida GB-1	76869	strain	6078430	1	0	0.0
Caulobacteraceae	76892	family	4141461	2	0	0.0
Cylindrospermopsis	77021	genus	3957192	4	0	0.0
Wolbachia endosymbiont of Drosophila simulans	77038	species	1298813	10	9	0.0
Pseudomonas mosselii	78327	species	11493253	1	0	0.0
Pseudomonas migulae	78543	species	5804264	1	0	0.0
Thermothelomyces thermophilus	78579	species	38744216	1	0	0.0
Alkalihalobacillus clausii	79880	species	4303871	5	0	0.0
Burkholderiales	80840	order	6940628	2	0	0.0
Herbaspirillum rubrisubalbicans	80842	species	5866989	2	0	0.0
Comamonadaceae	80864	family	5387844	5	0	0.0
Delftia	80865	genus	6767514	1	0	0.0
Delftia acidovorans	80866	species	6767514	3	3	0.0
Acidovorax citrulli	80869	species	5352772	4	0	0.0
Enterococcaceae	81852	family	2902732	13	0	0.0
Fannyhessea vaginae	82135	species	1447017	2	0	0.0
Microbacterium oxydans	82380	species	7731180	7	3	0.0
Cupriavidus gilardii	82541	species	5578743	1	0	0.0
Pseudanabaena sp. PCC 7367	82654	species	4885680	3025	2368	0.0
Liquorilactobacillus nagelii	82688	species	2547117	4	0	0.0
Serratia plymuthica	82996	species	5437972	1	0	0.0
Aminobacter aminovorans	83263	species	6890726	1	0	0.0
Escherichia coli K-12	83333	strain	93017684	1	0	0.0
Archangium violaceum	83451	species	25891834	1	1	0.0
Bradyrhizobium genosp. B	83627	species	7622528	1	1	0.0
Bradyrhizobium genosp. L	83637	species	7401610	1	1	0.0
Microbacterium chocolatum	84292	species	3168630	1	1	0.0
Pedobacter	84567	genus	5167383	2	1	0.0
Streptomycetales	85011	order	9477993	1	0	0.0
Streptosporangiales	85012	order	6053490	1	0	0.0
Nocardiaceae	85025	family	7002200	1	0	0.0
Gordoniaceae	85026	family	5567155	1	0	0.0
Mycolicibacterium monacense	85693	species	6019539	1	0	0.0
Achromobacter xylosoxidans	85698	species	7359146	67	56	0.0
endosymbiont of Acanthamoeba sp. UWC8	86106	species	1615277	2	2	0.0
Pseudomonas lundensis	86185	species	9748401	2	0	0.0
Alkalihalobacillus halodurans	86665	species	4202352	3	0	0.0
Peptacetobacter hiranonis	89152	species	5056594	2	0	0.0
